orf_name,hours,n,normalized_cs,q_cs,effect_cs,exp_id,exp_environment
YAL023C,58,4,0.993524,0.101307,unchanged,93,"N-,C++"
YAL025C,34,4,0.823918,0.000755,decreased,28,"N+, C+"
YAL025C,34,4,0.829735,0.000892,decreased,31,"N+, C++"
YAL025C,34,4,0.90852,0.001066,decreased,33,"N++,C++"
YAL025C,35,4,0.816499,0.00151,decreased,91,"N++,C+"
YAL025C,58,4,0.945444,0.001333,decreased,93,"N-,C++"
YAL027W,34,4,0.973831,0.00217,decreased,28,"N+, C+"
YAL027W,34,4,0.980872,0.002108,unchanged,31,"N+, C++"
YAL027W,34,4,1.009723,0.132848,unchanged,33,"N++,C++"
YAL027W,35,4,1.001597,0.146075,unchanged,91,"N++,C+"
YAL027W,58,4,0.999621,0.10318,unchanged,93,"N-,C++"
YAL031C,34,4,0.349197,0.000755,decreased,28,"N+, C+"
YAL031C,34,4,0.348836,0.000892,decreased,31,"N+, C++"
YAL031C,34,4,0.335411,0.001045,decreased,33,"N++,C++"
YAL031C,35,4,0.399064,0.00151,decreased,91,"N++,C+"
YAL031C,58,4,0.490501,0.001182,decreased,93,"N-,C++"
YAL033W,34,4,1.016147,0.242176,unchanged,28,"N+, C+"
YAL033W,34,4,1.027855,0.251181,unchanged,31,"N+, C++"
YAL033W,34,4,0.992103,0.030868,unchanged,33,"N++,C++"
YAL033W,35,4,1.043659,0.175843,unchanged,91,"N++,C+"
YAL033W,58,4,1.030321,0.156231,unchanged,93,"N-,C++"
YAL034C,34,4,0.973904,0.007688,decreased,28,"N+, C+"
YAL034C,34,4,1.012258,0.187563,unchanged,31,"N+, C++"
YAL034C,34,4,0.958149,0.004021,decreased,33,"N++,C++"
YAL034C,35,4,0.933971,0.001535,decreased,91,"N++,C+"
YAL034C,58,4,0.876996,0.001182,decreased,93,"N-,C++"
YAL034C-B,34,4,1.019867,0.184984,unchanged,28,"N+, C+"
YAL034C-B,34,4,0.992752,0.038194,unchanged,31,"N+, C++"
YAL034C-B,34,4,1.008134,0.159018,unchanged,33,"N++,C++"
YAL034C-B,35,4,0.994489,0.089399,unchanged,91,"N++,C+"
YAL034C-B,58,4,1.000723,0.064427,unchanged,93,"N-,C++"
YAL034W-A,34,4,0.980712,0.008728,unchanged,28,"N+, C+"
YAL034W-A,34,4,0.987217,0.004325,unchanged,31,"N+, C++"
YAL034W-A,34,4,1.016674,0.214764,unchanged,33,"N++,C++"
YAL034W-A,35,4,0.996319,0.181728,unchanged,91,"N++,C+"
YAL034W-A,58,4,0.994789,0.139204,unchanged,93,"N-,C++"
YAL035W,34,4,0.839798,0.000755,decreased,28,"N+, C+"
YAL035W,34,4,0.858082,0.000892,decreased,31,"N+, C++"
YAL035W,34,4,0.838479,0.001045,decreased,33,"N++,C++"
YAL035W,35,4,0.828099,0.00151,decreased,91,"N++,C+"
YAL035W,58,4,0.830896,0.001182,decreased,93,"N-,C++"
YAL036C,34,4,1.015519,0.226675,unchanged,28,"N+, C+"
YAL036C,34,4,0.981315,0.001938,unchanged,31,"N+, C++"
YAL036C,34,4,0.994938,0.011753,unchanged,33,"N++,C++"
YAL036C,35,4,0.983898,0.008197,unchanged,91,"N++,C+"
YAL036C,58,4,0.954373,0.001254,decreased,93,"N-,C++"
YAL037C-A,34,4,0.875372,0.000755,decreased,28,"N+, C+"
YAL037C-A,34,4,0.896605,0.000892,decreased,31,"N+, C++"
YAL037C-A,34,4,0.879599,0.001045,decreased,33,"N++,C++"
YAL037C-A,35,4,0.8999,0.00151,decreased,91,"N++,C+"
YAL037C-A,58,4,0.928974,0.001182,decreased,93,"N-,C++"
YAL037W,34,4,0.977745,0.002667,unchanged,28,"N+, C+"
YAL037W,34,4,0.999626,0.025189,unchanged,31,"N+, C++"
YAL037W,34,4,0.975528,0.002893,unchanged,33,"N++,C++"
YAL037W,35,4,1.058722,0.035843,unchanged,91,"N++,C+"
YAL037W,58,4,1.051786,0.074505,unchanged,93,"N-,C++"
YAL038W,34,4,0.967252,0.005984,decreased,28,"N+, C+"
YAL038W,34,4,0.967678,0.01292,unchanged,31,"N+, C++"
YAL038W,34,4,0.933937,0.001045,decreased,33,"N++,C++"
YAL038W,35,4,1.042381,0.175071,unchanged,91,"N++,C+"
YAL038W,58,4,1.002004,0.186581,unchanged,93,"N-,C++"
YAL039C,34,4,0.998332,0.031612,unchanged,28,"N+, C+"
YAL039C,34,4,1.000365,0.043397,unchanged,31,"N+, C++"
YAL039C,34,4,1.054277,0.06039,unchanged,33,"N++,C++"
YAL039C,35,4,1.009848,0.177051,unchanged,91,"N++,C+"
YAL039C,58,4,1.023451,0.211035,unchanged,93,"N-,C++"
YAL040C,34,4,0.670076,0.000755,decreased,28,"N+, C+"
YAL040C,34,4,0.625652,0.000892,decreased,31,"N+, C++"
YAL040C,34,4,0.636729,0.001045,decreased,33,"N++,C++"
YAL040C,35,4,0.724576,0.00151,decreased,91,"N++,C+"
YAL040C,58,4,0.662024,0.001182,decreased,93,"N-,C++"
YAL041W,34,2,0.958284,0.02652,unchanged,28,"N+, C+"
YAL041W,34,2,0.944159,0.008401,decreased,31,"N+, C++"
YAL041W,34,2,0.931663,0.009349,decreased,33,"N++,C++"
YAL041W,35,2,0.981036,0.08133,unchanged,91,"N++,C+"
YAL041W,58,2,0.968414,0.018113,unchanged,93,"N-,C++"
YAL042W,34,4,1.032581,0.125661,unchanged,28,"N+, C+"
YAL042W,34,4,1.022674,0.22327,unchanged,31,"N+, C++"
YAL042W,34,4,1.021192,0.27851,unchanged,33,"N++,C++"
YAL042W,35,4,1.018515,0.303607,unchanged,91,"N++,C+"
YAL042W,58,4,1.03027,0.239482,unchanged,93,"N-,C++"
YAL043C,34,4,0.900754,0.000755,decreased,28,"N+, C+"
YAL043C,34,4,0.90233,0.000892,decreased,31,"N+, C++"
YAL043C,34,4,0.905029,0.001045,decreased,33,"N++,C++"
YAL043C,35,4,0.906541,0.00151,decreased,91,"N++,C+"
YAL043C,58,4,0.962767,0.002207,decreased,93,"N-,C++"
YAL044W-A,34,4,0.70014,0.000755,decreased,28,"N+, C+"
YAL044W-A,34,4,0.752,0.000892,decreased,31,"N+, C++"
YAL044W-A,34,4,0.696982,0.001045,decreased,33,"N++,C++"
YAL044W-A,35,4,0.673786,0.00151,decreased,91,"N++,C+"
YAL044W-A,58,4,0.747904,0.001182,decreased,93,"N-,C++"
YAL046C,34,4,1.022405,0.198689,unchanged,28,"N+, C+"
YAL046C,34,4,0.98531,0.003283,unchanged,31,"N+, C++"
YAL046C,34,4,0.986897,0.004231,unchanged,33,"N++,C++"
YAL046C,35,4,0.97505,0.003548,unchanged,91,"N++,C+"
YAL046C,58,4,0.989844,0.025504,unchanged,93,"N-,C++"
YAL048C,34,4,0.937053,0.000755,decreased,28,"N+, C+"
YAL048C,34,4,0.919439,0.000892,decreased,31,"N+, C++"
